Name,Products,Brand,Color,Price,Size,Formula,Ingredients,About,URL
Long-Wear Cream Eyeshadow Stick,Eyeshadow,Bobbi Brown,"Taupe - medium caramel, Nude Beach - a greyish taupe with a hint of shimmer, Bark - rich brown, Shell - pale pink, Cinnamon - dark red-brown",46,1.6 g,Cream,"Cyclopentasiloxane, Trimethylsiloxysilicate, Polyethylene, Lauroyl Lysine, Ozokerite, Octyldodecanol, Synthetic Beeswax, Ascorbyl Palmitate, Tocopherol, Lecithin, Disteardimonium Hectorite, Propylene Carbonate, Calcium Aluminum Borosilicate, Synthetic Fluorphlogopite, Calcium Sodium Borosilicate, Citric Acid, Silica, Tin Oxide, [+/- Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499), Manganese Violet (CI 77742), Yellow 5 Lake (CI 19140), Chromium Oxide Greens (CI 77288), Chromium Hydroxide Green (CI 77289), Carmine (CI 75470), Bismuth Oxychloride (CI 77163), Ferric Ammonium Ferrocyanide (CI 77510), Aluminum Powder (CI 77000), Blue 1 Lake (CI 42090), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510)].","A bestselling cream eyeshadow stick that glides on with ease and lasts for 24 hours. Prime, define, or highlight with buildable shadow shades and three finishes to complement all skin tones, eye shapes, and looks. The creamy, blendable stick glides on tug-free. The waterproof, long-lasting, color-true formula stays put for 24 hours without settling, creasing, smudging, or flaking.",https://www.sephora.com/ca/en/product/long-wear-cream-shadow-stick-P378145?skuId=2483493&icid2=products%20grid:p378145:product
Scattered Light Glitter Eye Shadow,Eyeshadow,Hourglass,"Aura - pink, Reflect - champagne, Rapture - cranberry, Smoke - taupe, Foil - gold, ",41,3.5 g,Powder,"Calcium Titanium Borosilicate, Dimethicone, Calcium Aluminum Borosilicate, Mica, Diisostearyl Malate, Isododecane, Trimethylsiloxysilicate, Dimethicone Crosspolymer, Pentylene Glycol, 1,2-Hexanediol, Caprylyl Glycol, Ethylhexylglycerin, Hydrogenated Polyisobutene, Illicium Verum (Anise) Fruit Extract, Palmitic Acid, Propanediol, Tin Oxide, Benzoic Acid, Phenoxyethanol, Iron Oxides (Ci 77491, Ci 77499), Titanium Dioxide (Ci 77891), Red 40 Lake (Ci 16035).","A weightless, micro-glitter eyeshadow infused with light-reflecting pearls to create high-impact, sparkling eyes. This eyeshadow is infused with refined micro-glitter for a sophisticated, sparkling finish, and features multifaceted pearls that capture and reflect light for brilliant, multidimensional eye looks. It comes in a range of light-catching shades that are buildable from a sheer, crystal-like shimmer to an opaque, prismatic glitter finish. Its weightless formula glides across lids and dries down for smooth, comfortable wear.",https://www.sephora.com/ca/en/product/scattered-light-glitter-eye-shadow-P433811?skuId=2087690&icid2=products%20grid:p433811:product
Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica,Foundation,Haus Labs,"000 Fair Neutral - ultra fair with neutral white undertones,  015 Fair Warm - ultra fair porcelain with warm rosy undertones",65,30 mL,Liquid,"Aqua (Water, Eau), Diphenylsiloxy Phenyl Trimethicone, Phenyl Trimethicone, Caprylyl Methicone, Trimethylsiloxysilicate, Propylene Glycol Dibenzoate, Isododecane, Glycerin, Butylene Glycol, Methyl Trimethicone, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, C13-15 Alkane, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Alcohol Denat., Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Polymethylsilsesquioxane, Sorbitan Sesquioleate, Disteardimonium Hectorite, 1,2-Hexanediol, Palmitoyl Tetrapeptide-10, Arnica Montana Flower Extract**, Hydrolyzed Hyaluronic Acid, Squalane, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Apricot Kernel Oil/Olive Fruit Oil/Sweet Almond Oil/Sunflower Seed Oil/Licorice Root Extract Ferment Extract Filtrate, Pseudozyma Epicola/Apricot Kernel Oil/Olive Fruit Oil/Sunflower Seed Oil/Sweet Almond Oil/(Angelica Gigas/Lithospermum Erythrorhizon) Root, Solanum Lycopersicum (Tomato) Fruit Extract, Dunaliella Salina Extract, Hedychium Coronarium Root Extract, Tocopherol, Althaea Rosea Flower Extract, Taraxacum Officinale (Dandelion) Extract, Perilla Ocymoides Leaf Extract, Panax Notoginseng Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Extract, Centella Asiatica Extract, Pseudozyma Epicola/Sunflower Seed Oil Ferment Extract Filtrate, Caprylyl Glycol, Ethylhexylglycerin, Magnesium Sulfate, Polypropylsilsesquioxane, Acrylates/Dimethicone Copolymer, Triethoxycaprylylsilane, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, CI 77891 (Titanium Dioxide), CI 77491/77492/77499 (Iron Oxides).","A medium coverage, weightless, clean foundation with fermented arnica that helps reduce redness and protects from environmental stress. Made with 20+ skincare ingredients, this proprietary formula delivers ultra-comfortable, longwear performance without compromising your skin. Its weightless, serum-like texture seamlessly blurs and smooths for a natural, luminous finish that wears all day. No slipping or caking.",https://www.sephora.com/ca/en/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185
Best Skin Ever Matte Powder Foundation,Foundation,Sephora Collection,"29P Medium - medium, pink undertone, 06Y Light - light, yellow undertone, 33.5N Tan - tan, neutral undertone, 65N Deep - deep, neutral undertone,  29P Medium - medium, pink undertone",29,7.5 g,Powder,"Synthetic Fluorphlogopite, Dimethicone, Nylon-12, Polypropylene, CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), Zinc Stearate, Methylpropanediol, CI 77499 (Iron Oxides), Diisostearyl Malate, Sodium Dehydroacetate, Caprylyl Glycol, Caprylic/Capric Triglyceride, Illite, Helianthus Annuus (Sunflower) Seed Oil, Dimethicone Crosspolymer, Phenylpropanol, Chlorella Vulgaris Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract.","A medium-to-full buildable coverage, long-wearing matte powder foundation that is formulated to even skin tone, smooth imperfections and control shine up to 8 hours. This foundation has a silky, breathable texture that easily blends with the skin to reduce visibility of fine lines and pores. Enjoy buildable, medium-to-high coverage to even skin tone and smooth imperfections. Formulated with enriched adaptogen plant extracts, this weightless foundation helps the skin maintain balance and better react to everyday challenges.",https://www.sephora.com/ca/en/product/best-skin-ever-matte-powder-foundation-P505903?skuId=2667400&icid2=products%20grid:p505903:product
Balm Dotcom Lip Balm and Skin Salve,Lipstick/Lip Gloss/Lip Balm,Glossier,"Lavender - sheer purple tint, Rose - sheer pink tint, Birthday - soft shimmer clear, Mango - sheer peach rose, Mint - clear tinted, Original - clear, Berry - sheer berry tint, Coconut - clear untinted, Wild Fig - sheer coral tint ",19,15 mL,Balm,"Carthamus Tinctorius (Safflower) Seed Oil, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, Synthetic Wax, Polyhydroxystearic Acid, Butyrospermum Parkii (Shea) Butter, Bis-Diglyceryl Polyacyladipate-2, Flavor/Aroma, Silica, Synthetic Beeswax, Behenyl Behenate, Silica Silylate, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire de Candelilla, Tocopheryl Acetate, Iron Oxides (CI 77491, CI 77499), Yellow 6 Lake (CI 15985), Red 7 Lake (CI 15850).","A moisturizing lip balm with antioxidants and emollients that nourishes for smooth, hydrated lips without the shine.  This ultra-rich, all-over balm is formulated with antioxidants and natural emollients to nourish dry, flaky, chafed skin. It has a thick waxy texture that seals in moisture and leaves lips smooth and hydrated.",https://www.sephora.com/ca/en/product/P504525
Signature Lip Lightweight Matte Lipstick,Lipstick/Lip Gloss/Lip Balm,Merit,"Maison - mauve, Equestrian - warm brown, Antibes - soft peach, Classic - neutral, Sunday - pink, Court - warm brick, Vermillion - warm red, Power - cool red",36,3 g,Matte,"Dimethicone, Ethylhexyl Palmitate, Synthetic Wax, Calcium Carbonate, Caprylic/Capric Triglyceride, Hydrogenated Olive Oil, Kaolin, Polyglyceryl-3 Diisostearate, Silica, Euphorbia Cerifera (Candelilla) Wax, Olea Europaea (Olive) Fruit Oil, Olea Europaea (Olive) Oil Unsaponifiables, Sodium Hyaluronate, Sesamum Indicum (Sesame) Seed Extract, Tocopherol, Stearalkonium Hectorite, Dimethicone/Vinyl Dimethicone Crosspolymer, Ricinus Communis (Castor) Seed Oil, Dimethyl Isosorbide, Propylene Carbonate, Isopropyl Titanium Triisostearate, Hydrogenated Castor Oil, (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 7 Lake (CI 15850), Red 27 Lake (CI 45410), Red 30 Lake (CI 73360), Red 6 Lake (CI 15850), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Blue 1 Lake (CI 42090).","A lightweight, soft-matte lipstick that has a nondrying formula for buildable color that feels like nothing on the lips.  This lightweight, soft-matte lipstick provides buildable color that feels like nothing on the lips. The nondrying formula features hyaluronic acid to smooth and lock in moisture and sesame seed extract so lips stay soft and comfortable all day. It's lipstick you can live in.",https://www.sephora.com/ca/en/product/merit-signature-lip-lightweight-matte-lipstick-P510442?skuId=2759827
